"Space Name","Location Name","Record Date","Day Of Week","Day of Month","Month","Max. Occupancy","Min. Occupancy","Avg. Occupancy","Ins","Outs"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-02-28 00:00:00","2 - Monday","28","2 -  February","100","0","64.81944444444444","827","831"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-01 00:00:00","3 - Tuesday","1","3 -  March","119","4","63.30694444444445","836","827"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-02 00:00:00","4 - Wednesday","2","3 -  March","96","6","62.6875","765","758"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-03 00:00:00","5 - Thursday","3","3 -  March","132","0","66.8236111111111","788","789"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-04 00:00:00","6 - Friday","4","3 -  March","123","5","74.05185185185185","709","673"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-05 00:00:00","7 - Saturday","5","3 -  March","144","1","80.85185185185185","984","967"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-06 00:00:00","1 - Sunday","6","3 -  March","144","8","105","853","844"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-07 00:00:00","2 - Monday","7","3 -  March","117","0","72.7","878","883"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-08 00:00:00","3 - Tuesday","8","3 -  March","125","6","73.01944444444445","856","850"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-09 00:00:00","4 - Wednesday","9","3 -  March","133","0","68.6375","900","902"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-10 00:00:00","5 - Thursday","10","3 -  March","145","4","73.21666666666667","879","874"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-11 00:00:00","6 - Friday","11","3 -  March","106","4","57.42777777777778","611","607"
"Canton Public Library - SAFESPACE OCCUPANCY","Canton Public Library","2022-03-12 00:00:00","7 - Saturday","12","3 -  March","72","5","41.32203389830509","165","98"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
